timestamp,temperature,humidity,co2,pressure
2025-02-20T20:56:10Z,23.8,61.0,668.0,748.6
2025-02-20T20:58:10Z,24.5,54.5,408.0,748.7
2025-02-20T21:00:10Z,24.4,54.0,366.0,748.7
2025-02-20T21:02:10Z,24.3,54.5,361.0,748.8
2025-02-20T21:04:10Z,24.2,55.0,356.0,748.7
2025-02-20T21:06:10Z,24.2,55.5,406.0,748.7
2025-02-20T21:08:10Z,24.0,55.5,490.0,748.6
2025-02-20T21:10:10Z,23.9,55.0,467.0,748.6
2025-02-20T21:12:10Z,23.8,57.5,509.0,748.5
2025-02-20T21:14:10Z,23.7,57.0,523.0,748.6
2025-02-20T21:16:14Z,23.6,56.5,463.0,748.7
2025-02-20T21:18:10Z,23.4,56.0,391.0,748.6
2025-02-20T21:20:10Z,23.5,55.0,369.0,748.6
2025-02-20T21:22:10Z,23.4,54.5,355.0,748.7
2025-02-20T21:24:14Z,23.3,56.5,384.0,748.7
2025-02-20T21:26:10Z,23.2,56.5,366.0,748.7
2025-02-20T21:28:10Z,23.2,57.0,343.0,748.6
2025-02-20T21:30:10Z,23.1,57.5,424.0,748.6
2025-02-20T21:32:10Z,23.1,58.5,422.0,748.6
2025-02-20T21:34:10Z,23.0,56.5,357.0,748.6
2025-02-20T21:36:10Z,23.0,58.0,377.0,748.7
2025-02-20T21:38:10Z,22.8,58.0,410.0,748.7
2025-02-20T21:40:15Z,22.8,58.0,384.0,748.7
2025-02-20T21:42:10Z,22.6,56.5,352.0,748.7
2025-02-20T21:44:10Z,22.5,56.0,339.0,748.7
2025-02-20T21:46:10Z,22.4,58.0,381.0,748.7
2025-02-20T21:48:14Z,22.5,60.5,399.0,748.7
2025-02-20T21:50:10Z,22.4,59.0,409.0,748.7
2025-02-20T21:52:10Z,22.5,58.5,349.0,748.7
2025-02-20T21:54:10Z,22.5,60.5,398.0,748.7
2025-02-20T21:56:10Z,22.5,61.0,441.0,748.7
2025-02-20T21:58:10Z,22.5,61.0,415.0,748.7
2025-02-20T22:00:10Z,22.5,60.0,372.0,748.7
2025-02-20T22:02:10Z,22.4,60.5,408.0,748.7
2025-02-20T22:04:10Z,22.5,62.0,434.0,748.8
2025-02-20T22:06:13Z,22.5,62.0,440.0,748.8
2025-02-20T22:08:10Z,22.5,61.5,430.0,748.8
2025-02-20T22:10:10Z,22.5,60.0,383.0,748.8
2025-02-20T22:12:10Z,22.4,60.0,389.0,748.9
2025-02-20T22:14:10Z,22.3,59.5,345.0,748.8
2025-02-20T22:16:10Z,22.3,62.5,429.0,748.9
2025-02-20T22:18:10Z,22.3,62.5,454.0,748.9
2025-02-20T22:20:10Z,22.3,63.5,452.0,748.9
2025-02-20T22:22:10Z,22.2,62.0,407.0,749.0
2025-02-20T22:24:10Z,22.3,62.5,388.0,749.0
2025-02-20T22:26:15Z,22.1,62.0,419.0,749.0
2025-02-20T22:28:13Z,22.1,62.5,432.0,749.0
2025-02-20T22:30:09Z,22.1,63.0,416.0,749.0
2025-02-20T22:32:09Z,22.1,60.5,360.0,749.0
2025-02-20T22:34:09Z,21.9,61.0,353.0,749.0
2025-02-20T22:36:09Z,21.9,62.0,405.0,749.0
2025-02-20T22:38:09Z,21.9,63.5,434.0,749.1
2025-02-20T22:40:09Z,21.8,63.5,439.0,749.1
2025-02-20T22:42:09Z,21.8,64.0,452.0,749.2
2025-02-20T22:44:09Z,21.7,64.5,474.0,749.1
2025-02-20T22:46:09Z,21.8,64.5,470.0,749.1
2025-02-20T22:48:13Z,21.6,65.0,467.0,749.1
2025-02-20T22:50:09Z,21.5,65.5,473.0,749.2
2025-02-20T22:52:09Z,21.4,65.5,473.0,749.4
2025-02-20T22:54:09Z,21.3,65.5,471.0,749.3
2025-02-20T22:56:09Z,21.1,63.0,373.0,749.4
2025-02-20T22:58:13Z,21.2,65.5,419.0,749.5
2025-02-20T23:00:09Z,21.2,64.5,411.0,749.5
2025-02-20T23:02:09Z,21.1,65.0,408.0,749.5
2025-02-20T23:04:09Z,21.0,64.5,387.0,749.5
2025-02-20T23:06:09Z,20.9,64.0,374.0,749.5
2025-02-20T23:08:09Z,20.8,64.0,387.0,749.7
2025-02-20T23:10:09Z,20.7,66.0,392.0,749.7
2025-02-20T23:12:09Z,20.6,65.0,407.0,749.7
2025-02-20T23:14:09Z,20.5,63.5,355.0,749.7
2025-02-20T23:16:13Z,20.5,64.0,342.0,749.8
2025-02-20T23:18:09Z,20.4,64.5,351.0,749.8
2025-02-20T23:20:09Z,20.3,64.5,341.0,749.8
2025-02-20T23:22:09Z,20.2,64.5,325.0,749.8
2025-02-20T23:24:09Z,20.1,65.5,340.0,749.8
2025-02-20T23:26:09Z,20.1,66.0,352.0,749.9
2025-02-20T23:28:09Z,20.1,66.5,345.0,749.9
2025-02-20T23:30:13Z,19.9,67.0,345.0,749.9
2025-02-20T23:32:09Z,19.9,67.0,347.0,749.8
2025-02-20T23:34:09Z,19.9,67.0,342.0,749.8
2025-02-20T23:36:09Z,19.8,67.0,350.0,749.9
2025-02-20T23:38:09Z,19.7,66.5,350.0,749.9
2025-02-20T23:40:09Z,19.7,67.5,348.0,750.0
2025-02-20T23:42:13Z,19.7,67.0,344.0,750.1
2025-02-20T23:44:09Z,19.7,67.5,344.0,750.1
2025-02-20T23:46:09Z,19.6,68.0,355.0,750.1
2025-02-20T23:48:09Z,19.6,68.0,349.0,750.2
2025-02-20T23:50:09Z,19.6,68.0,349.0,750.2
2025-02-20T23:52:09Z,19.5,68.0,336.0,750.3
2025-02-20T23:54:09Z,19.5,68.0,358.0,750.3
2025-02-20T23:56:09Z,19.5,68.0,353.0,750.3
2025-02-20T23:58:09Z,19.5,68.0,353.0,750.2
2025-02-21T00:00:13Z,19.4,68.5,352.0,750.2
2025-02-21T00:02:09Z,19.4,68.5,369.0,750.2
2025-02-21T00:04:09Z,19.3,69.0,363.0,750.3
2025-02-21T00:06:08Z,19.3,69.0,344.0,750.3
2025-02-21T00:08:08Z,19.2,68.5,355.0,750.3
2025-02-21T00:10:08Z,19.2,66.5,339.0,750.3
2025-02-21T00:12:13Z,19.1,67.0,350.0,750.3
2025-02-21T00:14:08Z,19.1,67.5,354.0,750.4
2025-02-21T00:16:08Z,19.1,68.0,356.0,750.4
2025-02-21T00:18:08Z,19.1,68.0,347.0,750.4
2025-02-21T00:20:13Z,19.0,68.0,361.0,750.5
2025-02-21T00:22:08Z,19.0,68.5,353.0,750.5
2025-02-21T00:24:08Z,19.0,69.0,361.0,750.5
2025-02-21T00:26:08Z,18.9,69.0,363.0,750.5
2025-02-21T00:28:08Z,18.9,69.5,356.0,750.6
2025-02-21T00:30:08Z,18.9,69.5,360.0,750.6
2025-02-21T00:32:08Z,18.8,69.5,356.0,750.6
2025-02-21T00:34:08Z,18.9,69.5,361.0,750.6
2025-02-21T00:36:08Z,18.8,69.5,352.0,750.6
2025-02-21T00:38:12Z,18.7,69.5,355.0,750.6
2025-02-21T00:40:08Z,18.6,69.5,349.0,750.6
2025-02-21T00:42:08Z,18.5,69.5,348.0,750.6
2025-02-21T00:44:08Z,18.6,69.5,344.0,750.7
2025-02-21T00:46:08Z,18.5,70.0,366.0,750.7
